Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Free-by-cyclic,Geometric,Manifold,Knot,Link Exterior,Further Information,References
,Trivial group,0,False,Z^0,True,,False,True,,,,,
aa,"C_2",1,a,Z^0+Z/2Z,True,a,False,True,,,,,
aaa,"C_3",1,a,Z^0+Z/3Z,True,a,False,True,,,,,
aaaa,"C_4",1,a,Z^0+Z/4Z,True,a,False,True,,,,,
aabb,"T(2,2)",2,False,Z^1+Z/2Z,False,bb,True,True,,,,,
abAB,"BS(1,1)",2,False,Z^2,False,a,True,True,,,,,
aaaaa,"C_5",1,a,Z^0+Z/5Z,True,a,False,True,,,,,
aaabb,"T(3,2)",2,False,Z^1,False,bb,True,True,,,3_1,,
aabaB,"BS(1,-2)",2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabAB,"BS(1,2)",2,False,Z^1,False,,False,False,,,,,
aaaaaa,"C_5",1,a,Z^0+Z/6Z,True,a,False,True,,,,,
aaaabb,"T(4,2)",2,False,Z^1+Z/2Z,False,bb,True,True,,,,,
aaabaB,"BS(1,-3)",2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaabbb,"T(3,3)",2,False,Z^1+Z/3Z,False,bbb,True,True,,,,,
aaabAB,"B(1,3)",2,False,Z^1+Z/2Z,False,,False,False,,,,,
aabaaB,"BS(2,-2)",2,False,Z^1+Z/4Z,False,,False,,,,,,
aabaBB,,2,False,Z^1,False,,True,False,,,,,
aabbaB,,2,False,Z^1,False,,True,False,,,,,
aabbcc,"\pi_1(N_3)",3,False,Z^2+Z/2Z,False,,False,True,,,,,
aabbAB,,2,False,Z^1,False,,True,False,,,,,
aabAAB,"BS(2,2)",2,False,Z^2,False,aa,True,,,,9^2_43,,
aaaaaaa,"C_7",1,a,Z^0+Z/7Z,True,a,False,True,,,,,
aaaaabb,"T(5,2)",2,False,Z^1,False,bb,True,True,,,5_1,,
aaaabaB,"BS(1,-4)",2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaaabbb,"T(4,3)",2,False,Z^1,False,bbb,True,True,,,8_19,,
aaaabAB,"BS(1,4)",2,False,Z^1+Z/3Z,False,,False,,,,,,
aaabaaB,"BS(2,-3)",2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaabaBB,,2,False,Z^1,False,,True,False,,,,,
aaabbaB,,2,False,Z^1,False,,True,False,,,,,
aaabbcc,,3,False,Z^2,False,,False,True,,,,,
aaabbAb,,2,False,Z^1,False,,True,False,,,,,
aaabbAB,,2,False,Z^1,False,,True,False,,,,,
aaabcBC,,3,False,Z^2+Z/3Z,False,,False,True,,,,,
aaabAbb,,2,False,Z^1,False,,True,False,,,,,
aaabAAB,"BS(2,3)",2,False,Z^1,False,,False,False,,,,,
aaabABB,,2,False,Z^1,False,,True,False,,,,,
aabaaBB,,2,False,Z^1,False,,True,True,,,,,
aabacbc,,3,False,Z^2,True,,False,False,,,,,
aabbaBB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabbAAB,,2,False,Z^1,False,,False,False,,,,,
abacaCB,,3,False,Z^2+Z/3Z,True,,False,True,,,,,
abacACB,,3,False,Z^2,True,,False,True,,,,,
aaaaaaaa,"C_8",1,a,Z^0+Z/8Z,True,a,False,True,,,,,
aaaaaabb,"T(6,2)",2,False,Z^1+Z/2Z,False,bb,True,True,,,,,
aaaaabaB,"BS(1,-5)",2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaaabbb,"T(5,3)",2,False,Z^1,False,bbb,True,True,,,10_124,,
aaaaabAB,"BS(1,5)",2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaabaaB,"BS(2,-4)",2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaabaBB,,2,False,Z^1,False,,True,False,,,,,
aaaabbaB,,2,False,Z^1,False,,True,False,,,,,
aaaabbbb,"T(4,4)",2,False,Z^1+Z/4Z,False,bbbb,True,True,,,,,
aaaabbAb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaaabbAB,,2,False,Z^1,False,,True,False,,,,,
aaaabAbb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
