Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Geometric,Manifold,Knot,Link Exterior,Further Information,References
,Trivial group,0,False,Z^0,True,<>,True,,,,,
aa,C_2,1,a,Z^0+Z/2Z,True,<a>,True,,,,"Finite, abelian",
aaa,C_3,1,a,Z^0+Z/3Z,True,<a>,True,,,,"Finite Cyclic, abelian",
aaaa,C_4,1,a,Z^0+Z/4Z,True,<a>,True,,,,"Finite, abelian",
aabb,"BS(1,-1)",2,False,Z^1+Z/2Z,False,<bb>,True,,,,Fundamental group of Klein bottle,
abAB,"BS(1,1)",2,False,Z^2,False,"<a,b>",True,,,,"Fundamental group of torus, abelian",
aaaaa,C_5,1,a,Z^0+Z/5Z,True,<a>,True,,,,"Finite, abelian",
aaabb,"T(3,2)",2,False,Z^1,False,<bb>,True,,,,"Fundamental group of trefoil knot complement, three strand braid group",
aabaB,"BS(1,-2)",2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabAB,"BS(1,2)",2,False,Z^1,False,<>,False,,,,,
aaaaaa,C_6,1,a,Z^0+Z/6Z,True,<a>,True,,,,"Finite, abelian",
aaaabb,,2,False,Z^1+Z/2Z,False,<bb>,True,,,,,
aaabaB,"BS(1,-3)",2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbb,,2,False,Z^1+Z/3Z,False,<bbb>,True,,,,,
aaabAB,"BS(1,3)",2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaaB,"BS(2,-2)",2,False,Z^1+Z/4Z,False,<>,,,,,,
aabaBB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,t|taT=b,tbT=c,tcT=Ac>",
aabbaB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,t|taT=b,tbT=c,tcT=bA>",
aabbAB,,2,False,Z^1,False,<>,False,,,,"Free-by-cylic: <a,b,t|taT=b,tbT=ab>",
aabAAB,"BS(2,2)",2,False,Z^2,False,<aa>,,9^2_43,,9^2_43,,
aabbcc,\pi_1(N_3),3,False,Z^2+Z/2Z,False,<>,True,,,,Fundamental group of non-orientable surface of genus 3,
aaaaaaa,C_7,1,a,Z^0+Z/7Z,True,<a>,True,,,,"Finite, abelian",
aaaaabb,"T(5,2)",2,False,Z^1,False,<bb>,True,5_1,,5_1,,
aaaabaB,"BS(1,-4)",2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabbb,"T(4,3)",2,False,Z^1,False,<bbb>,True,8_19,,8_19,,
aaaabAB,"BS(1,4)",2,False,Z^1+Z/3Z,False,<>,,,,,,
aaabaaB,"BS(2,-3)",2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabaBB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,d,t|taT=b,tbT=c,tcT=d,tdT=ad>",
aaabbaB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,d,t|taT=b,tbT=c,tcT=d,tdT=bA>",
aaabbAb,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,d,e,t|taT=b,tbT=c,tcT=d,tdT=e,teT=ebAD>",
aaabbAB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,t|taT=b,tbT=c,tcT=aB>",
aaabAbb,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,d,e,t|taT=b,tbT=c,tcT=d,tdT=e,teT=ebAC>",
aaabAAB,"BS(2,3)",2,False,Z^1,False,<>,False,,,,,
aaabABB,,2,False,Z^1,False,<>,False,,,,"Free-by-cyclic: <a,b,c,t|taT=b,tbT=c,tcT=ac>",
aabaaBB,,2,False,Z^1,False,<>,True,,,,"Free-by-cyclic: <a,b,c,d,t|taT=b,tbT=c,tcT=d,tdT=Ac>",
aabbaBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbcc,,3,False,Z^2,False,<>,True,,,,,
aaabcBC,,3,False,Z^2+Z/3Z,False,<>,True,,,,,
aabacbc,,3,False,Z^2,True,<>,False,,,,,
abacaCB,,3,False,Z^2+Z/3Z,True,<>,True,,,,,
abacACB,,3,False,Z^2,True,<>,True,,,,,
aaaaaaaa,C_8,1,a,Z^0+Z/8Z,True,<a>,True,,,,"Finite, abelian",
aaaaaabb,,2,False,Z^1+Z/2Z,False,<bb>,True,,,,,
aaaaabaB,"BS(1,-5)",2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaaaabbb,"T(5,3)",2,False,Z^1,False,<bbb>,True,10_124,,10_124,,
aaaaabAB,"BS(1,5)",2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaaabaaB,"BS(2,-4)",2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaaabaBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbb,,2,False,Z^1+Z/4Z,False,<bbbb>,True,,,,,
aaaabbAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabAAB,"BS(2,4)",2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabABB,,2,False,Z^1,False,<>,False,,,,,
aaabaaaB,"BS(3,-3)",2,False,Z^1+Z/6Z,False,<>,,,,,,
aaabaaBB,,2,False,Z^1,False,<>,False,,,,,
aaababbb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabaBBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabb,,2,False,Z^1+Z/4Z,False,<>,True,,,,,
aaabbaBB,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbbaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbbAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbAbb,,2,False,Z^1+Z/2Z,False,<>,True,,,,,
aaabbAAb,,2,False,Z^1,False,<>,False,,,,,
aaabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabAAbb,,2,False,Z^1,False,<>,False,,,,,
aaabAAAB,"BS(3,3)",2,False,Z^2,False,<aaa>,,9^2_49,,9^2_49,,
aaabAABB,,2,False,Z^1,False,<>,False,,,,,
aababbaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aababbAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aababAbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaBabb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaBaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabaBAbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabbaabb,,2,aabb,Z^1+Z/4Z,False,<>,False,,,,,
aabbaaBB,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aabbaBAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aabbAABB,,2,False,Z^2,False,<>,True,,,,,
aabbABAB,,2,False,Z^2,False,<>,False,,,,,
aabABBAb,,2,False,Z^2,False,<>,True,,,,,
abABabAB,,2,abAB,Z^2,False,<>,False,,,,,
aaaabbcc,,3,False,Z^2+Z/2Z,False,<>,True,,,,,
aaaabcBC,,3,False,Z^2+Z/4Z,False,<>,True,,,,,
aaabacbc,,3,False,Z^2+Z/2Z,False,<>,,,,,,
aaabbbcc,,3,False,Z^2,False,<>,True,,,,,
aaabbcbC,,3,False,Z^2+Z/3Z,False,<>,False,,,,,
aaabbcBC,,3,False,Z^2,False,<>,False,,,,,
aabaacbc,,3,False,Z^2+Z/2Z,False,<>,,,,,,
aabacaCB,,3,False,Z^2+Z/4Z,True,<>,,,,,,
aabacbcc,,3,False,Z^2,True,<>,False,,,,,
aabacbCB,,3,False,Z^2,True,<>,False,,,,,
aabaccBC,,3,False,Z^2,True,<>,True,,,,,
aabacACB,,3,False,Z^2+Z/2Z,True,<>,,,,,,
aabacBCB,,3,False,Z^2,True,<>,False,,,,,
aabacBCC,,3,False,Z^2,True,<>,True,,,,,
aabcbCAb,,3,False,Z^2,True,<>,True,,,,,
aabcbCAB,,3,False,Z^2,True,<>,False,,,,,
aabcBCAb,,3,False,Z^2,True,<>,True,,,,,
aabcBCAc,,3,False,Z^2,True,<>,False,,,,,
aabbccdd,\pi_1(N_4),4,False,Z^3+Z/2Z,True,<>,True,,,,,
abcdABCD,\pi_1(\Sigma_2),4,False,Z^4,True,<>,True,,,,,
aaaaaaaaa,C_9,1,a,Z^0+Z/9Z,False,<a>,True,,,,"Finite, abelian",
aaaaaaabb,"T(7,2)",2,False,Z^1,False,<bb>,True,7_1,,7_1,,
aaaaaabaB,"BS(1,-6)",2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaaaabbb,,2,False,Z^1+Z/3Z,False,<aaaaaa>,True,,,,,
aaaaaabAB,"BS(1,6)",2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaaabaaB,"BS(2,-5)",2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaaabaBB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbaB,,2,False,Z^1,False,<>,False,,,,,
aaaaabbbb,"T(5,4)",2,False,Z^1,False,<bbbb>,True,,,,,
aaaaabbAb,,2,False,Z^1,False,<>,False,,,,,
aaaaabbAB,,2,False,Z^1,False,<>,False,,,,,
aaaaabAbb,,2,False,Z^1,False,<>,False,,,,,
aaaaabAAB,"BS(2,5)",2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaaabABB,,2,False,Z^1,False,<>,False,,,,,
aaaabaaaB,"BS(3,-4)",2,False,Z^1+Z/7Z,False,<>,False,,,,,
aaaabaaBB,,2,False,Z^1,False,<>,False,,,,,
aaaababbb,,2,False,Z^1,False,<>,False,,,,,
aaaabaBBB,,2,False,Z^1,False,<>,False,,,,,
aaaabbaaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbabb,,2,False,Z^1,False,<>,True,,,,,
aaaabbaBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaaabbbab,,2,False,Z^1,False,<>,False,,,,,
aaaabbbaB,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbbAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbAbb,,2,False,Z^1,False,<>,True,,,,,
aaaabbAAb,,2,False,Z^1,False,<>,False,,,,,
aaaabbAAB,,2,False,Z^1,False,<>,False,,,,,
aaaabbABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaaabAbbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAAAB,"BS(3,4)",2,False,Z^1,False,<>,False,,,,,
aaaabAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaaaBB,,2,False,Z^1,False,<>,True,,,,,
aaabaabbb,,2,False,Z^1,False,<>,False,,,,,
aaabaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaababaBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaababbaB,,2,False,Z^1,False,<>,False,,,,,
aaababbAb,,2,False,Z^1,False,<>,False,,,,,
aaababbAB,,2,False,Z^1,False,<>,False,,,,,
aaababAbb,,2,False,Z^1,False,<>,False,,,,,
aaababABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBabb,,2,False,Z^1,False,<>,False,,,,,
aaabaBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBABB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBab,,2,False,Z^1+Z/5Z,False,<>,True,m003,,,,
aaabaBBAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaabb,,2,False,Z^1,False,<bb>,True,,,,,"Minimum Volume Hypebolic 3-manifolds, Peter Milley"
aaabbaaBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbabaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbb,,2,False,Z^1,False,<>,False,,,,,
aaabbabAb,,2,False,Z^1,False,<>,False,,,,,
aaabbabAB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBab,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAb,,2,False,Z^1,False,<>,False,,,,,
aaabbaBAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaaB,,2,False,Z^1,False,<>,False,,,,,
aaabbbaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbbAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbbABB,,2,False,Z^1,False,<>,False,,,,,
aaabbAbab,,2,False,Z^1,False,<>,False,,,,,
aaabbAAbb,,2,False,Z^1,False,<>,True,,,,,
aaabbAAAb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbAAAB,,2,False,Z^1,False,<>,False,,,,,
aaabbAABB,,2,False,Z^1,False,<>,False,,,,,
aaabbABAB,,2,False,Z^1,False,<>,False,,,,,
aaabAbabb,,2,False,Z^1,False,<>,False,,,,,
aaabAbbab,,2,False,Z^1,False,<>,False,,,,,
aaabABaBB,,2,False,Z^1,False,<>,False,,,,,
aaabABABB,,2,False,Z^1,False,<>,False,,,,,
aaabABBAb,,2,False,Z^1,False,<>,True,m004,,4_1,,
aabaabaBB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aabaabbaB,,2,False,Z^1,False,<>,False,,,,,
aabaabbAB,,2,False,Z^1,False,<>,False,,,,,
aabaabABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaaBabb,,2,False,Z^1,False,<>,False,,,,,
aabaaBaBB,,2,False,Z^1,False,<>,False,,,,,
aabaaBAbb,,2,False,Z^1,False,<>,False,,,,,
aabaaBABB,,2,False,Z^1,False,<>,False,,,,,
aababaaBB,,2,False,Z^1+Z/5Z,False,<>,True,m006,,,,
aababbAAB,,2,False,Z^1,False,<>,False,,,,,
aababAABB,,2,False,Z^1,False,<>,False,,,,,
aabaBaabb,,2,False,Z^1,False,<>,False,,,,,
aabaBaaBB,,2,False,Z^1,False,<>,False,,,,,
aabaBabaB,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aabaBabAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBAbaB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabaBAbAB,,2,False,Z^1,False,<>,False,,,,,
aabaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aabaBBAAb,,2,False,Z^1,False,<>,False,,,,,
aabbaabAB,,2,False,Z^1,False,<>,False,,,,,
aabbaaBAb,,2,False,Z^1,False,<>,False,,,,,
aabbaaBAB,,2,False,Z^1+Z/3Z,False,<>,True,m007,,,,
aabbaBAAB,,2,False,Z^1,False,<>,False,,,,,
aabABabaB,"G(1,-2)",2,False,Z^1+Z/3Z,False,<>,False,,,,,
aabABabAB,,2,False,Z^1,False,<>,False,,,,,
